k_gain,sr_frequency_Hz,sr_coarse_frequency_Hz,sr_projection_fraction,sr_local_snr_dB,original_projection_energy,original_residual_energy,original_energy_fraction,difference_from_projection_Hz,abs_difference_from_projection_Hz,combined_score
0.005,1.99995378498294,2.0000016152054,0.0652928609278011,28.7921364885457,24.7395615885193,400.14830656291,0.0582260955017481,-4.78302224555804e-05,4.78302224555804e-05,0.430693669530163
0.00851851851851852,NaN,NaN,0.0652897914737043,28.7938236426345,NaN,NaN,NaN,NaN,NaN,NaN
0.012037037037037,NaN,NaN,0.0652866690335012,28.7955127155262,NaN,NaN,NaN,NaN,NaN,NaN
0.0155555555555556,NaN,NaN,0.0652834935911086,28.7972037085972,NaN,NaN,NaN,NaN,NaN,NaN
0.0190740740740741,NaN,NaN,0.0652802651301568,28.7988966232677,NaN,NaN,NaN,NaN,NaN,NaN
0.0225925925925926,NaN,NaN,0.0652769836339697,28.8005914609691,NaN,NaN,NaN,NaN,NaN,NaN
0.0261111111111111,NaN,NaN,0.0652736490855795,28.8022882231755,NaN,NaN,NaN,NaN,NaN,NaN
0.0296296296296296,NaN,NaN,0.0652702614677171,28.8039869113852,NaN,NaN,NaN,NaN,NaN,NaN
0.0331481481481481,NaN,NaN,0.065266820762821,28.8056875271226,NaN,NaN,NaN,NaN,NaN,NaN
0.0366666666666667,NaN,NaN,0.0652633269530268,28.8073900719424,NaN,NaN,NaN,NaN,NaN,NaN
0.0401851851851852,NaN,NaN,0.0652597800201742,28.8090945474326,NaN,NaN,NaN,NaN,NaN,NaN
0.0437037037037037,NaN,NaN,0.065256179945803,28.8108009552032,NaN,NaN,NaN,NaN,NaN,NaN
0.0472222222222222,NaN,NaN,0.0652525267111535,28.8125092968998,NaN,NaN,NaN,NaN,NaN,NaN
0.0507407407407407,NaN,NaN,0.0652488202971678,28.8142195741929,NaN,NaN,NaN,NaN,NaN,NaN
0.0542592592592593,NaN,NaN,0.0652450606844846,28.8159317887819,NaN,NaN,NaN,NaN,NaN,NaN
0.0577777777777778,NaN,NaN,0.065241247853444,28.8176459423977,NaN,NaN,NaN,NaN,NaN,NaN
0.0612962962962963,NaN,NaN,0.0652373817840847,28.8193620367998,NaN,NaN,NaN,NaN,NaN,NaN
0.0648148148148148,NaN,NaN,0.0652334624561419,28.8210800737752,NaN,NaN,NaN,NaN,NaN,NaN
0.0683333333333333,NaN,NaN,0.0652294898490492,28.8228000551438,NaN,NaN,NaN,NaN,NaN,NaN
0.0718518518518518,NaN,NaN,0.0652254639419373,28.8245219827498,NaN,NaN,NaN,NaN,NaN,NaN
0.0753703703703704,NaN,NaN,0.065221384713633,28.826245858472,NaN,NaN,NaN,NaN,NaN,NaN
0.0788888888888889,NaN,NaN,0.0652172521426588,28.8279716842158,NaN,NaN,NaN,NaN,NaN,NaN
0.0824074074074074,NaN,NaN,0.0652130662072352,28.8296994619162,NaN,NaN,NaN,NaN,NaN,NaN
0.0859259259259259,NaN,NaN,0.0652088268852724,28.8314291935383,NaN,NaN,NaN,NaN,NaN,NaN
0.0894444444444445,NaN,NaN,0.0652045341543798,28.8331608810774,NaN,NaN,NaN,NaN,NaN,NaN
0.092962962962963,NaN,NaN,0.0652001879918575,28.8348945265568,NaN,NaN,NaN,NaN,NaN,NaN
0.0964814814814815,NaN,NaN,0.065195788374699,28.8366301320318,NaN,NaN,NaN,NaN,NaN,NaN
0.1,NaN,NaN,0.0651913352795907,28.8383676995854,NaN,NaN,NaN,NaN,NaN,NaN
0.12,NaN,NaN,0.0651650058495411,28.8482817780012,NaN,NaN,NaN,NaN,NaN,NaN
0.13,NaN,NaN,0.0651511914787656,28.8532627428525,NaN,NaN,NaN,NaN,NaN,NaN
0.14,NaN,NaN,0.0651369432154767,28.8582597292007,NaN,NaN,NaN,NaN,NaN,NaN
0.15,NaN,NaN,0.0651222604425401,28.8632727928322,NaN,NaN,NaN,NaN,NaN,NaN
0.16,NaN,NaN,0.0651071425221617,28.868301991539,NaN,NaN,NaN,NaN,NaN,NaN
0.17,NaN,NaN,0.0650915887957472,28.8733473851324,NaN,NaN,NaN,NaN,NaN,NaN
0.18,NaN,NaN,0.0650755985837568,28.8784090354587,NaN,NaN,NaN,NaN,NaN,NaN
0.19,NaN,NaN,0.0650591711855553,28.883487006415,NaN,NaN,NaN,NaN,NaN,NaN
0.2,1.99995348055993,2.0000016152054,0.0650423058792555,28.8885813639651,24.7391931457939,400.148675005636,0.0582252283488989,-4.81346454701548e-05,4.81346454701548e-05,0.431253058786203
0.21,1.99995346525421,2.0000016152054,0.065025001921557,28.8936921761563,24.739174559684,400.148693591746,0.0582251846053344,-4.81499511943984e-05,4.81499511943984e-05,0.431280897611521
0.22,1.99995344997759,2.0000016152054,0.0650072585475795,28.8988195131383,24.7391560030351,400.148712148395,0.0582251409311081,-4.81652278141453e-05,4.81652278141453e-05,0.431308654610941
0.23,1.99995343472999,2.0000016152054,0.0649890749706881,28.9039634471803,24.7391374757838,400.148730675647,0.0582250973260709,-4.81804754084436e-05,4.81804754084436e-05,0.431336329935848
0.24,1.9999534195113,2.0000016152054,0.0649704503823192,28.9091240526913,24.7391189778168,400.148749173614,0.058225053789956,-4.81956940978634e-05,4.81956940978634e-05,0.431363923742339
0.25,1.99995340432142,2.0000016152054,0.064951383951791,28.9143014062384,24.7391005090477,400.148767642383,0.0582250103225603,-4.82108839812145e-05,4.82108839812145e-05,0.431391436191878
0.26,1.99995338916023,2.0000016152054,0.0649318748261167,28.9194955865694,24.7390820693726,400.148786082058,0.0582249669236393,-4.82260451708516e-05,4.82260451708516e-05,0.431418867451017
0.27,1.99995337402762,2.0000016152054,0.0649119221298083,28.922131904054,24.7390636586873,400.148804492743,0.0582249235929473,-4.82411777789071e-05,4.82411777789071e-05,0.431428194297531
0.28,1.9999533589235,2.0000016152054,0.0648915249646728,28.9228493841083,24.7390452769048,400.148822874526,0.0582248803302801,-4.82562819048571e-05,4.82562819048571e-05,0.431423889504447
0.29,1.99995334384774,2.0000016152054,0.0648706824096036,28.9235767388063,24.7390269239171,400.148841227513,0.058224837135383,-4.82713576628324e-05,4.82713576628324e-05,0.43141945364091
0.3,1.99995332880024,2.0000016152054,0.0648493935203671,28.9243140585972,24.7390085996317,400.148859551798,0.0582247940080387,-4.828640515675e-05,4.828640515675e-05,0.431414886914413
0.31,1.99995331378089,2.0000016152054,0.0648276573293799,28.9250614349405,24.7389903039253,400.148877847504,0.0582247509479568,-4.83014245131752e-05,4.83014245131752e-05,0.431410189528765
0.32,1.99995329878958,2.0000016152054,0.0648054728454818,28.9258189603212,24.73897203672,400.14889611471,0.0582247079549538,-4.83164158222582e-05,4.83164158222582e-05,0.431405361684709
0.33,1.99995328382619,2.0000016152054,0.0647828390537009,28.926586728267,24.7389537978988,400.148914353532,0.0582246650287548,-4.83313792065676e-05,4.83313792065676e-05,0.431400403579257
0.34,1.99995326889063,2.0000016152054,0.0647597549150115,28.9273648333636,24.7389355873644,400.148932564066,0.0582246221691305,-4.83463147709084e-05,4.83463147709084e-05,0.431395315406163
0.35,1.99995325398277,2.0000016152054,0.0647362193660876,28.9281533712727,24.7389174050127,400.148950746418,0.058224579375836,-4.83612226278574e-05,4.83612226278574e-05,0.43139009735572
0.36,NaN,NaN,0.0647122313190445,28.9274133813503,NaN,NaN,NaN,NaN,NaN,NaN
0.37,NaN,NaN,0.0646877896611789,28.9261825370873,NaN,NaN,NaN,NaN,NaN,NaN
0.38,NaN,NaN,0.0646628932546976,28.9249545425838,NaN,NaN,NaN,NaN,NaN,NaN
0.39,NaN,NaN,0.0646375409364394,28.9237294288267,NaN,NaN,NaN,NaN,NaN,NaN
0.4,NaN,NaN,0.0646117315175917,28.9225072277762,NaN,NaN,NaN,NaN,NaN,NaN
0.41,NaN,NaN,0.0645854637833948,28.9212879723759,NaN,NaN,NaN,NaN,NaN,NaN
0.42,NaN,NaN,0.0645587364928433,28.920071696563,NaN,NaN,NaN,NaN,NaN,NaN
0.43,NaN,NaN,0.0645315483783754,28.9188584352792,NaN,NaN,NaN,NaN,NaN,NaN
0.44,NaN,NaN,0.0645038981455559,28.9176482244805,NaN,NaN,NaN,NaN,NaN,NaN
0.45,NaN,NaN,0.0652457239161978,28.6704718536606,NaN,NaN,NaN,NaN,NaN,NaN
0.46,NaN,NaN,0.0652347634754097,28.6732133974983,NaN,NaN,NaN,NaN,NaN,NaN
0.47,NaN,NaN,0.0652233713746371,28.6759645136097,NaN,NaN,NaN,NaN,NaN,NaN
0.48,NaN,NaN,0.0652115470698447,28.6787252719892,NaN,NaN,NaN,NaN,NaN,NaN
0.49,NaN,NaN,0.0651992899960333,28.6781322747188,NaN,NaN,NaN,NaN,NaN,NaN
0.5,NaN,NaN,0.0651865995670818,28.6774129255086,NaN,NaN,NaN,NaN,NaN,NaN
0.51,NaN,NaN,0.0651734751755816,28.6767012047075,NaN,NaN,NaN,NaN,NaN,NaN
0.52,NaN,NaN,0.0651599161926673,28.6759971701297,NaN,NaN,NaN,NaN,NaN,NaN
0.53,NaN,NaN,0.0651459219678402,28.6753008805983,NaN,NaN,NaN,NaN,NaN,NaN
0.54,NaN,NaN,0.0651314918287847,28.6746123959456,NaN,NaN,NaN,NaN,NaN,NaN
0.55,NaN,NaN,0.0651166250811789,28.6739317770138,NaN,NaN,NaN,NaN,NaN,NaN
0.56,NaN,NaN,0.0651013210084974,28.6732590856542,NaN,NaN,NaN,NaN,NaN,NaN
0.57,NaN,NaN,0.0650855788718089,28.6725943847282,NaN,NaN,NaN,NaN,NaN,NaN
0.58,NaN,NaN,0.0650693979095653,28.6719377381056,NaN,NaN,NaN,NaN,NaN,NaN
0.59,NaN,NaN,0.0650527773373832,28.6712892106645,NaN,NaN,NaN,NaN,NaN,NaN
0.6,NaN,NaN,0.0650357163478222,28.6706488682901,NaN,NaN,NaN,NaN,NaN,NaN
0.65,NaN,NaN,0.0649437752347869,28.6675723087044,NaN,NaN,NaN,NaN,NaN,NaN
0.7,NaN,NaN,0.0648406888830303,28.6647108343867,NaN,NaN,NaN,NaN,NaN,NaN
0.75,NaN,NaN,0.0647263288786139,28.6620737995023,NaN,NaN,NaN,NaN,NaN,NaN
0.8,NaN,NaN,0.0646005502865714,28.6596711607052,NaN,NaN,NaN,NaN,NaN,NaN
0.85,NaN,NaN,0.0644631905283268,28.6575134528887,NaN,NaN,NaN,NaN,NaN,NaN
0.9,NaN,NaN,0.0643140680804913,28.6556117539727,NaN,NaN,NaN,NaN,NaN,NaN
0.95,NaN,NaN,0.0641529809682748,28.6539776360226,NaN,NaN,NaN,NaN,NaN,NaN
1,NaN,NaN,0.0639797050211551,28.6526230994521,NaN,NaN,NaN,NaN,NaN,NaN
1.05,NaN,NaN,0.0637939918515873,28.6515604864277,NaN,NaN,NaN,NaN,NaN,NaN
1.1,NaN,NaN,0.0635955665090843,28.6508023688191,NaN,NaN,NaN,NaN,NaN,NaN
1.15,NaN,NaN,0.0633841247514991,28.6503614051161,NaN,NaN,NaN,NaN,NaN,NaN
1.2,NaN,NaN,0.0631593298623093,28.6610552133022,NaN,NaN,NaN,NaN,NaN,NaN
1.25,NaN,NaN,0.0629208089263242,28.6781551866886,NaN,NaN,NaN,NaN,NaN,NaN
1.3,NaN,NaN,0.0626681484557028,28.6950435045362,NaN,NaN,NaN,NaN,NaN,NaN
1.35,NaN,NaN,0.0624008892321914,28.7116931027364,NaN,NaN,NaN,NaN,NaN,NaN
1.4,NaN,NaN,0.0621185201985479,28.7280717780822,NaN,NaN,NaN,NaN,NaN,NaN
1.45,NaN,NaN,0.0618204711902231,28.7441414322345,NaN,NaN,NaN,NaN,NaN,NaN
1.5,NaN,NaN,0.0615061042448718,28.7598572626556,NaN,NaN,NaN,NaN,NaN,NaN
